Profit:  -252 Capital:  747 Total trade:  1 Win trade:  0 Win rate:  0.0%
Profit:  3967 Capital:  4714 Total trade:  2 Win trade:  1 Win rate:  50.0%
Profit:  -1190 Capital:  3524 Total trade:  3 Win trade:  1 Win rate:  33.3%
Profit:  -889 Capital:  2634 Total trade:  4 Win trade:  1 Win rate:  25.0%
Profit:  -665 Capital:  1968 Total trade:  5 Win trade:  1 Win rate:  20.0%
Profit:  10061 Capital:  12030 Total trade:  6 Win trade:  2 Win rate:  33.3%
Profit:  -3038 Capital:  8992 Total trade:  7 Win trade:  2 Win rate:  28.5%
Profit:  -2270 Capital:  6721 Total trade:  8 Win trade:  2 Win rate:  25.0%
Profit:  41445 Capital:  48166 Total trade:  9 Win trade:  3 Win rate:  33.3%
Profit:  -6313 Capital:  41853 Total trade:  10 Win trade:  3 Win rate:  30.0%
Profit:  140278 Capital:  182131 Total trade:  11 Win trade:  4 Win rate:  36.3%
Profit:  -6126 Capital:  176005 Total trade:  12 Win trade:  4 Win rate:  33.3%
Profit:  -6313 Capital:  169692 Total trade:  13 Win trade:  4 Win rate:  30.7%
Profit:  -6313 Capital:  163379 Total trade:  14 Win trade:  4 Win rate:  28.5%
Profit:  -6313 Capital:  157066 Total trade:  15 Win trade:  4 Win rate:  26.6%
Profit:  133399 Capital:  290466 Total trade:  16 Win trade:  5 Win rate:  31.2%
Profit:  -6313 Capital:  284153 Total trade:  17 Win trade:  5 Win rate:  29.4%
Profit:  126365 Capital:  410518 Total trade:  18 Win trade:  6 Win rate:  33.3%
Profit:  -6313 Capital:  404205 Total trade:  19 Win trade:  6 Win rate:  31.5%
Profit:  -6313 Capital:  397892 Total trade:  20 Win trade:  6 Win rate:  30.0%
Profit:  -6313 Capital:  391579 Total trade:  21 Win trade:  6 Win rate:  28.5%
Profit:  -6313 Capital:  385265 Total trade:  22 Win trade:  6 Win rate:  27.2%
Profit:  -6313 Capital:  378952 Total trade:  23 Win trade:  6 Win rate:  26.0%
Profit:  128655 Capital:  507608 Total trade:  24 Win trade:  7 Win rate:  29.1%
Profit:  -6313 Capital:  501295 Total trade:  25 Win trade:  7 Win rate:  28.0%
Profit:  -6313 Capital:  494981 Total trade:  26 Win trade:  7 Win rate:  26.9%
Profit:  -6313 Capital:  488668 Total trade:  27 Win trade:  7 Win rate:  25.9%
Profit:  -6313 Capital:  482355 Total trade:  28 Win trade:  7 Win rate:  25.0%
Profit:  -6313 Capital:  476042 Total trade:  29 Win trade:  7 Win rate:  24.1%
Profit:  -6313 Capital:  469729 Total trade:  30 Win trade:  7 Win rate:  23.3%
Profit:  -6313 Capital:  463416 Total trade:  31 Win trade:  7 Win rate:  22.5%
Profit:  -6313 Capital:  457103 Total trade:  32 Win trade:  7 Win rate:  21.8%
Profit:  -6313 Capital:  450789 Total trade:  33 Win trade:  7 Win rate:  21.2%
Profit:  -6313 Capital:  444476 Total trade:  34 Win trade:  7 Win rate:  20.5%
Profit:  -6313 Capital:  438163 Total trade:  35 Win trade:  7 Win rate:  20.0%
Profit:  -6313 Capital:  431850 Total trade:  36 Win trade:  7 Win rate:  19.4%
Profit:  -6313 Capital:  425537 Total trade:  37 Win trade:  7 Win rate:  18.9%
Profit:  -6313 Capital:  419224 Total trade:  38 Win trade:  7 Win rate:  18.4%
Profit:  -6313 Capital:  412911 Total trade:  39 Win trade:  7 Win rate:  17.9%
