Profit:  1006 Capital:  2006 Total trade:  1 Win trade:  1 Win rate:  100.0%
Profit:  4424 Capital:  6431 Total trade:  2 Win trade:  2 Win rate:  100.0%
Profit:  -1624 Capital:  4807 Total trade:  3 Win trade:  2 Win rate:  66.6%
Profit:  10618 Capital:  15426 Total trade:  4 Win trade:  3 Win rate:  75.0%
Profit:  29094 Capital:  44520 Total trade:  5 Win trade:  4 Win rate:  80.0%
Profit:  -6313 Capital:  38207 Total trade:  6 Win trade:  4 Win rate:  66.6%
Profit:  -6313 Capital:  31894 Total trade:  7 Win trade:  4 Win rate:  57.1%
Profit:  49644 Capital:  81539 Total trade:  8 Win trade:  5 Win rate:  62.5%
Profit:  -6313 Capital:  75226 Total trade:  9 Win trade:  5 Win rate:  55.5%
Profit:  -6126 Capital:  69100 Total trade:  10 Win trade:  5 Win rate:  50.0%
Profit:  42577 Capital:  111677 Total trade:  11 Win trade:  6 Win rate:  54.5%
Profit:  -6313 Capital:  105364 Total trade:  12 Win trade:  6 Win rate:  50.0%
Profit:  -6313 Capital:  99050 Total trade:  13 Win trade:  6 Win rate:  46.1%
Profit:  -6313 Capital:  92737 Total trade:  14 Win trade:  6 Win rate:  42.8%
Profit:  -6313 Capital:  86424 Total trade:  15 Win trade:  6 Win rate:  40.0%
Profit:  28089 Capital:  114513 Total trade:  16 Win trade:  7 Win rate:  43.7%
Profit:  23661 Capital:  138175 Total trade:  17 Win trade:  8 Win rate:  47.0%
Profit:  24063 Capital:  162238 Total trade:  18 Win trade:  9 Win rate:  50.0%
Profit:  -6313 Capital:  155925 Total trade:  19 Win trade:  9 Win rate:  47.3%
Profit:  -6313 Capital:  149612 Total trade:  20 Win trade:  9 Win rate:  45.0%
Profit:  28878 Capital:  178490 Total trade:  21 Win trade:  10 Win rate:  47.6%
Profit:  34982 Capital:  213473 Total trade:  22 Win trade:  11 Win rate:  50.0%
Profit:  -6313 Capital:  207160 Total trade:  23 Win trade:  11 Win rate:  47.8%
Profit:  -6313 Capital:  200847 Total trade:  24 Win trade:  11 Win rate:  45.8%
Profit:  -6313 Capital:  194533 Total trade:  25 Win trade:  11 Win rate:  44.0%
Profit:  38777 Capital:  233311 Total trade:  26 Win trade:  12 Win rate:  46.1%
Profit:  -6313 Capital:  226998 Total trade:  27 Win trade:  12 Win rate:  44.4%
Profit:  -6254 Capital:  220743 Total trade:  28 Win trade:  12 Win rate:  42.8%
Profit:  27439 Capital:  248183 Total trade:  29 Win trade:  13 Win rate:  44.8%
Profit:  30958 Capital:  279141 Total trade:  30 Win trade:  14 Win rate:  46.6%
Profit:  23693 Capital:  302835 Total trade:  31 Win trade:  15 Win rate:  48.3%
Profit:  -6313 Capital:  296522 Total trade:  32 Win trade:  15 Win rate:  46.8%
Profit:  -6313 Capital:  290209 Total trade:  33 Win trade:  15 Win rate:  45.4%
Profit:  -6313 Capital:  283896 Total trade:  34 Win trade:  15 Win rate:  44.1%
Profit:  -6313 Capital:  277582 Total trade:  35 Win trade:  15 Win rate:  42.8%
Profit:  -6313 Capital:  271269 Total trade:  36 Win trade:  15 Win rate:  41.6%
Profit:  -6313 Capital:  264956 Total trade:  37 Win trade:  15 Win rate:  40.5%
Profit:  31331 Capital:  296288 Total trade:  38 Win trade:  16 Win rate:  42.1%
Profit:  -6313 Capital:  289974 Total trade:  39 Win trade:  16 Win rate:  41.0%
Profit:  -6313 Capital:  283661 Total trade:  40 Win trade:  16 Win rate:  40.0%
Profit:  -6313 Capital:  277348 Total trade:  41 Win trade:  16 Win rate:  39.0%
